                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25835,                0.98406,                      1,                0.76725,              0.0033283,              0.0033283,              0.0033283
                      2,                0.04971,                0.97425,                      1,                0.77214,              0.0065957,              0.0065957,              0.0065957
                      3,                0.07653,                0.95064,                      1,                0.80389,              0.0097971,              0.0097971,              0.0097971
