                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.14482,                0.87002,                      1,                0.88994,               0.070045,              0.0033283,              0.0033283
                      1,                0.06595,                0.70601,                      1,                 1.0495,               0.038726,              0.0053427,              0.0053427
                      2,                0.04266,                0.90558,                      1,                 0.8715,               0.006087,               0.006037,               0.006037
                      3,                  0.027,                 0.9485,                      1,                0.80021,                0.00406,                0.00406,                0.00406
                      4,                0.01142,                0.96812,                      1,                0.77849,                0.00406,                0.00406,                0.00406
