                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                      0,                      1,                      1,                      0,               0.070366,              0.0032927,              0.0032927
                      1,                      0,                      1,                      1,                      0,               0.038726,              0.0049861,              0.0049861
                      2,                      0,                      1,                      1,                      0,               0.005436,              0.0050295,              0.0050295
                      3,                      0,                      1,                      1,                      0,               0.002575,               0.002575,               0.002575
