                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.23378,                0.83913,                0.99746,                 1.2657,               0.070028,              0.0033302,              0.0033302
                      1,                0.08071,                0.93178,                0.99908,                 1.1316,               0.039368,              0.0060039,              0.0060039
                      2,                0.05674,                0.93063,                0.99862,                 1.1348,              0.0080484,              0.0080175,              0.0080175
                      3,                0.03541,                 0.9652,                      1,                 1.0838,                0.00703,                0.00703,                0.00703
                      4,                0.02157,                0.97257,                      1,                 1.0741,                0.00703,                0.00703,                0.00703
                      5,                  0.012,                0.97188,                      1,                 1.0707,                0.00604,                0.00604,                0.00604
                      6,                0.00553,                0.97834,                      1,                 1.0634,                0.00505,                0.00505,                0.00505
                      7,                0.00249,                0.97972,                      1,                 1.0612,                0.00406,                0.00406,                0.00406
                      8,                0.00108,                0.97926,                      1,                 1.0625,                0.00307,                0.00307,                0.00307
                      9,                0.00083,                 0.9811,                      1,                 1.0592,                0.00208,                0.00208,                0.00208
