                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.14482,                0.87002,                      1,                0.88994,               0.070045,              0.0033283,              0.0033283
                      1,                0.06676,                0.91079,                      1,                0.84657,               0.039385,              0.0060022,              0.0060022
                      2,                0.04593,                0.90864,                      1,                0.85295,               0.008066,               0.008016,               0.008016
                      3,                0.03016,                0.94267,                      1,                0.80725,                0.00703,                0.00703,                0.00703
                      4,                0.01704,                0.95861,                      1,                0.78754,                0.00703,                0.00703,                0.00703
                      5,                0.00894,                0.96904,                      1,                0.77449,                0.00604,                0.00604,                0.00604
                      6,                0.00502,                0.96689,                      1,                0.77633,                0.00505,                0.00505,                0.00505
                      7,                0.00321,                 0.9767,                      1,                 0.7663,                0.00406,                0.00406,                0.00406
                      8,                0.00136,                0.97302,                      1,                0.77015,                0.00307,                0.00307,                0.00307
                      9,                0.00063,                0.98007,                      1,                0.76468,                0.00208,                0.00208,                0.00208
