                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                      0,                      1,                      1,                      0,               0.070366,              0.0032927,              0.0032927
                      1,                      0,                      1,                      1,                      0,                0.03971,                0.00597,                0.00597
                      2,                      0,                      1,                      1,                      0,              0.0083939,              0.0079874,              0.0079874
                      3,                      0,                      1,                      1,                      0,                0.00703,                0.00703,                0.00703
                      4,                      0,                      1,                      1,                      0,                0.00703,                0.00703,                0.00703
                      5,                      0,                      1,                      1,                      0,                0.00604,                0.00604,                0.00604
                      6,                      0,                      1,                      1,                      0,                0.00505,                0.00505,                0.00505
                      7,                      0,                      1,                      1,                      0,                0.00406,                0.00406,                0.00406
                      8,                      0,                      1,                      1,                      0,                0.00307,                0.00307,                0.00307
                      9,                      0,                      1,                      1,                      0,                0.00208,                0.00208,                0.00208
