                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.17323,                0.83981,                      1,                0.90629,               0.070039,               0.003329,               0.003329
                      1,                0.08277,                0.89744,                      1,                0.87193,                0.03872,              0.0053432,              0.0053432
                      2,                0.05124,                0.90325,                      1,                0.83849,              0.0060805,              0.0060374,              0.0060374
                      3,                0.03462,                0.95982,                      1,                0.78314,                0.00406,                0.00406,                0.00406
                      4,                0.01793,                0.96141,                      1,                0.77681,                0.00406,                0.00406,                0.00406
