                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                      0,                      1,                      1,                      0,                 0.0702,              0.0033111,              0.0033111
                      1,                      0,                      1,                      1,                      0,               0.039871,              0.0063155,              0.0063155
                      2,                      0,                      1,                      1,                      0,              0.0092122,                0.00899,                0.00899
                      3,                      0,                      1,                      1,                      0,               0.008515,               0.008515,               0.008515
                      4,                      0,                      1,                      1,                      0,               0.008515,               0.008515,               0.008515
                      5,                      0,                      1,                      1,                      0,                0.00802,                0.00802,                0.00802
                      6,                      0,                      1,                      1,                      0,               0.007525,               0.007525,               0.007525
                      7,                      0,                      1,                      1,                      0,                0.00703,                0.00703,                0.00703
                      8,                      0,                      1,                      1,                      0,               0.006535,               0.006535,               0.006535
                      9,                      0,                      1,                      1,                      0,                0.00604,                0.00604,                0.00604
                     10,                      0,                      1,                      1,                      0,               0.005545,               0.005545,               0.005545
                     11,                      0,                      1,                      1,                      0,                0.00505,                0.00505,                0.00505
                     12,                      0,                      1,                      1,                      0,               0.004555,               0.004555,               0.004555
                     13,                      0,                      1,                      1,                      0,                0.00406,                0.00406,                0.00406
                     14,                      0,                      1,                      1,                      0,               0.003565,               0.003565,               0.003565
                     15,                      0,                      1,                      1,                      0,                0.00307,                0.00307,                0.00307
                     16,                      0,                      1,                      1,                      0,               0.002575,               0.002575,               0.002575
                     17,                      0,                      1,                      1,                      0,                0.00208,                0.00208,                0.00208
                     18,                      0,                      1,                      1,                      0,               0.001585,               0.001585,               0.001585
                     19,                      0,                      1,                      1,                      0,                0.00109,                0.00109,                0.00109
