                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.21478,                0.86423,                 0.9923,                 1.2153,                0.07003,              0.0033299,              0.0033299
                      1,                 0.0704,                0.91623,                0.99831,                 1.1424,               0.039371,              0.0060036,              0.0060036
                      2,                0.04902,                0.91767,                0.99976,                  1.142,              0.0080511,              0.0080173,              0.0080173
                      3,                0.03279,                0.93909,                0.99928,                 1.1112,                0.00703,                0.00703,                0.00703
                      4,                0.01854,                0.96124,                0.99928,                 1.0838,                0.00703,                0.00703,                0.00703
                      5,                0.00996,                0.96798,                0.99952,                 1.0808,                0.00604,                0.00604,                0.00604
                      6,                0.00533,                0.96967,                0.99952,                 1.0735,                0.00505,                0.00505,                0.00505
                      7,                 0.0035,                0.96846,                0.99952,                 1.0764,                0.00406,                0.00406,                0.00406
                      8,                0.00144,                  0.974,                      1,                 1.0699,                0.00307,                0.00307,                0.00307
                      9,                0.00055,                0.97256,                      1,                 1.0707,                0.00208,                0.00208,                0.00208
