                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15348,                   0.87,                      1,                 0.7255,                0.07015,              0.0033167,              0.0033167
                      1,                0.08702,                  0.905,                      1,                0.63566,               0.038833,              0.0053333,              0.0053333
                      2,                0.05739,                   0.93,                      1,                0.62722,              0.0061966,              0.0060299,              0.0060299
                      3,                0.05038,                 0.9275,                      1,                0.61099,                0.00406,                0.00406,                0.00406
                      4,                 0.0354,                 0.9125,                      1,                0.62711,                0.00406,                0.00406,                0.00406
